"week","sum_points","sum_items","mean_daily_points","mean_daily_items"
"2016-03-12",10317,4,10317,4
"2016-03-11",131853,61,18836.1428571429,8.71428571428571
"2016-03-10",93035,40,13290.7142857143,5.71428571428571
"2016-02-09",112603,65,16086.1428571429,9.28571428571429
"2016-02-08",100288,71,14326.8571428571,10.1428571428571
"2016-02-07",87626,63,12518,9
"2016-02-06",71899,20,10271.2857142857,2.85714285714286
"2016-02-05",64613,17,9230.42857142857,2.42857142857143
"2016-01-04",46670,7,6667.14285714286,1
"2016-01-03",64658,25,9236.85714285714,3.57142857142857
"2016-01-02",65006,22,9286.57142857143,3.14285714285714
"2016-01-01",69369,30,9909.85714285714,4.28571428571429
"2016-01-00",20466,4,6822,1.33333333333333
"2015-12-52",35641,17,8910.25,4.25
"2015-12-51",46620,14,6660,2
"2015-12-50",68473,17,9781.85714285714,2.42857142857143
"2015-12-49",52909,23,7558.42857142857,3.28571428571429
"2015-11-48",57816,12,8259.42857142857,1.71428571428571
"2015-11-47",55007,13,7858.14285714286,1.85714285714286
"2015-11-46",42743,16,6106.14285714286,2.28571428571429
"2015-11-45",76976,36,10996.5714285714,5.14285714285714
"2015-11-44",59479,24,8497,3.42857142857143
"2015-10-43",60508,14,8644,2
"2015-10-42",55046,14,7863.71428571429,2
"2015-10-41",55729,8,7961.28571428571,1.14285714285714
"2015-10-40",102298,30,14614,4.28571428571429
"2015-09-39",0,0,0,0
"2015-09-38",68092,11,9727.42857142857,1.57142857142857
"2015-09-37",51935,16,7419.28571428571,2.28571428571429
"2015-09-36",70412,28,10058.8571428571,4
"2015-08-35",77647,15,11092.4285714286,2.14285714285714
"2015-08-34",57955,13,8279.28571428571,1.85714285714286
"2015-08-33",62518,29,8931.14285714286,4.14285714285714
"2015-08-32",85354,30,12193.4285714286,4.28571428571429
"2015-08-31",105925,39,15132.1428571429,5.57142857142857
"2015-07-30",100898,40,14414,5.71428571428571
"2015-07-29",99901,44,14271.5714285714,6.28571428571429
"2015-07-28",112495,52,16070.7142857143,7.42857142857143
"2015-07-27",153217,87,21888.1428571429,12.4285714285714
"2015-06-26",123619,65,17659.8571428571,9.28571428571429
"2015-06-25",100979,42,16829.8333333333,7
"2015-06-24",123071,38,17581.5714285714,5.42857142857143
"2015-06-23",117891,58,16841.5714285714,8.28571428571429
"2015-06-22",122612,60,17516,8.57142857142857
"2015-05-21",118005,71,16857.8571428571,10.1428571428571
"2015-05-20",115273,106,16467.5714285714,15.1428571428571
"2015-05-19",99033,66,14147.5714285714,9.42857142857143
"2015-05-18",100495,48,14356.4285714286,6.85714285714286
"2015-04-17",115175,64,16453.5714285714,9.14285714285714
"2015-04-16",108921,99,15560.1428571429,14.1428571428571
"2015-04-15",107186,55,15312.2857142857,7.85714285714286
"2015-04-14",96348,35,13764,5
"2015-03-13",51365,8,7337.85714285714,1.14285714285714
"2015-03-12",116055,94,16579.2857142857,13.4285714285714
"2015-03-11",48750,36,12187.5,9
