"month","sum_points","sum_items","mean_daily_points","mean_daily_items","mean_weekly_points","mean_weekly_items"
"2016-03",321307,153,15300.3333333333,7.28571428571429,80326.75,38.25
"2016-02",350927,188,12100.9310344828,6.48275862068965,70185.4,37.6
"2016-01",266169,88,8586.09677419355,2.83870967741935,53233.8,17.6
"2015-12",255276,83,8234.70967741935,2.67741935483871,51055.2,16.6
"2015-11",250449,89,8348.3,2.96666666666667,41741.5,14.8333333333333
"2015-10",263520,66,8500.64516129032,2.12903225806452,52704,13.2
"2015-09",258662,65,8622.06666666667,2.16666666666667,51732.4,13
"2015-08",346203,121,11167.8387096774,3.90322580645161,57700.5,20.1666666666667
"2015-07",525588,272,16954.4516129032,8.7741935483871,105117.6,54.4
"2015-06",504068,209,17381.6551724138,7.20689655172414,100813.6,41.8
"2015-05",473592,307,15277.1612903226,9.90322580645161,94718.4,61.4
"2015-04",430846,245,14361.5333333333,8.16666666666667,86169.2,49
"2015-03",172168,130,13243.6923076923,10,57389.3333333333,43.3333333333333
