"month","sum_points","sum_items","mean_daily_points","mean_daily_items","mean_weekly_points","mean_weekly_items"
"2016-04",89735,25,22433.75,6.25,44867.5,12.5
"2016-03",471287,202,15202.8064516129,6.51612903225806,94257.4,40.4
"2016-02",358852,193,12374.2068965517,6.6551724137931,71770.4,38.6
"2016-01",269533,91,8694.61290322581,2.93548387096774,53906.6,18.2
"2015-12",258082,83,8325.22580645161,2.67741935483871,51616.4,16.6
"2015-11",268529,100,8950.96666666667,3.33333333333333,44754.8333333333,16.6666666666667
"2015-10",273581,66,8825.1935483871,2.12903225806452,54716.2,13.2
"2015-09",235351,57,7845.03333333333,1.9,47070.2,11.4
"2015-08",356846,129,11511.1612903226,4.16129032258065,59474.3333333333,21.5
"2015-07",513345,247,16559.5161290323,7.96774193548387,102669,49.4
"2015-06",510079,228,17588.9310344828,7.86206896551724,102015.8,45.6
"2015-05",478644,308,15440.1290322581,9.93548387096774,95728.8,61.6
"2015-04",421046,242,14034.8666666667,8.06666666666667,84209.2,48.4
"2015-03",195816,138,13986.8571428571,9.85714285714286,65272,46
