"week","sum_points","sum_items","mean_daily_points","mean_daily_items"
"2016-04-14",19991,5,19991,5
"2016-03-13",128229,43,18318.4285714286,6.14285714285714
"2016-03-12",112028,34,16004,4.85714285714286
"2016-03-11",105294,50,15042,7.14285714285714
"2016-03-10",114710,50,16387.1428571429,7.14285714285714
"2016-02-09",100812,53,14401.7142857143,7.57142857142857
"2016-02-08",110816,69,15830.8571428571,9.85714285714286
"2016-02-07",94183,80,13454.7142857143,11.4285714285714
"2016-02-06",62817,22,8973.85714285714,3.14285714285714
"2016-02-05",70994,14,10142,2
"2016-01-04",56541,10,8077.28571428571,1.42857142857143
"2016-01-03",54358,16,7765.42857142857,2.28571428571429
"2016-01-02",64272,31,9181.71428571429,4.42857142857143
"2016-01-01",77162,22,11023.1428571429,3.14285714285714
"2016-01-00",17200,12,5733.33333333333,4
"2015-12-52",38295,15,9573.75,3.75
"2015-12-51",42899,16,6128.42857142857,2.28571428571429
"2015-12-50",67103,10,9586.14285714286,1.42857142857143
"2015-12-49",57870,28,8267.14285714286,4
"2015-11-48",57862,14,8266,2
"2015-11-47",67428,24,9632.57142857143,3.42857142857143
"2015-11-46",52197,14,7456.71428571429,2
"2015-11-45",72240,35,10320,5
"2015-11-44",58190,27,8312.85714285714,3.85714285714286
"2015-10-43",64707,14,9243.85714285714,2
"2015-10-42",51982,14,7426,2
"2015-10-41",59761,8,8537.28571428571,1.14285714285714
"2015-10-40",109658,30,15665.4285714286,4.28571428571429
"2015-09-39",0,0,0,0
"2015-09-38",56096,7,8013.71428571429,1
"2015-09-37",58914,20,8416.28571428571,2.85714285714286
"2015-09-36",65173,23,9310.42857142857,3.28571428571429
"2015-08-35",78479,15,11211.2857142857,2.14285714285714
"2015-08-34",60323,17,8617.57142857143,2.42857142857143
"2015-08-33",62016,27,8859.42857142857,3.85714285714286
"2015-08-32",79183,24,11311.8571428571,3.42857142857143
"2015-08-31",104857,48,14979.5714285714,6.85714285714286
"2015-07-30",105577,40,15082.4285714286,5.71428571428571
"2015-07-29",101576,35,14510.8571428571,5
"2015-07-28",102680,55,14668.5714285714,7.85714285714286
"2015-07-27",157453,87,22493.2857142857,12.4285714285714
"2015-06-26",116979,70,16711.2857142857,10
"2015-06-25",113652,35,18942,5.83333333333333
"2015-06-24",115720,46,16531.4285714286,6.57142857142857
"2015-06-23",119624,48,17089.1428571429,6.85714285714286
"2015-06-22",117319,64,16759.8571428571,9.14285714285714
"2015-05-21",121293,57,17327.5714285714,8.14285714285714
"2015-05-20",115278,103,16468.2857142857,14.7142857142857
"2015-05-19",100662,69,14380.2857142857,9.85714285714286
"2015-05-18",104886,68,14983.7142857143,9.71428571428571
"2015-04-17",104885,63,14983.5714285714,9
"2015-04-16",116188,83,16598.2857142857,11.8571428571429
"2015-04-15",104094,68,14870.5714285714,9.71428571428571
"2015-04-14",92524,35,13217.7142857143,5
"2015-03-13",66806,12,9543.71428571429,1.71428571428571
"2015-03-12",111345,94,15906.4285714286,13.4285714285714
"2015-03-11",57545,36,11509,7.2
